example_index,path,steps_to_correct,universal_difficulty_rank
23,/home/projects/bagon/shared/imagenet512/val/n07615774/ILSVRC2012_val_00015095.JPEG,16,25935
24,/home/projects/bagon/shared/imagenet512/val/n02906734/ILSVRC2012_val_00045118.JPEG,1,25948
25,/home/projects/bagon/shared/imagenet512/val/n03188531/ILSVRC2012_val_00026240.JPEG,36,26008
26,/home/projects/bagon/shared/imagenet512/val/n04332243/ILSVRC2012_val_00008446.JPEG,13,26130
27,/home/projects/bagon/shared/imagenet512/val/n04509417/ILSVRC2012_val_00005518.JPEG,11,26183
28,/home/projects/bagon/shared/imagenet512/val/n03786901/ILSVRC2012_val_00014325.JPEG,13,26191
29,/home/projects/bagon/shared/imagenet512/val/n02444819/ILSVRC2012_val_00042779.JPEG,25,26226
30,/home/projects/bagon/shared/imagenet512/val/n03394916/ILSVRC2012_val_00041958.JPEG,21,26427
31,/home/projects/bagon/shared/imagenet512/val/n02486410/ILSVRC2012_val_00008877.JPEG,32,26543
32,/home/projects/bagon/shared/imagenet512/val/n03733281/ILSVRC2012_val_00024860.JPEG,16,26677
33,/home/projects/bagon/shared/imagenet512/val/n02095570/ILSVRC2012_val_00017581.JPEG,20,26764
34,/home/projects/bagon/shared/imagenet512/val/n02113978/ILSVRC2012_val_00046981.JPEG,36,26782
35,/home/projects/bagon/shared/imagenet512/val/n13037406/ILSVRC2012_val_00022905.JPEG,32,26802
36,/home/projects/bagon/shared/imagenet512/val/n02113712/ILSVRC2012_val_00012355.JPEG,42,27328
37,/home/projects/bagon/shared/imagenet512/val/n03899768/ILSVRC2012_val_00007381.JPEG,36,27607
38,/home/projects/bagon/shared/imagenet512/val/n02177972/ILSVRC2012_val_00019202.JPEG,22,27656
39,/home/projects/bagon/shared/imagenet512/val/n02093991/ILSVRC2012_val_00007327.JPEG,22,27739
40,/home/projects/bagon/shared/imagenet512/val/n06596364/ILSVRC2012_val_00011285.JPEG,25,27747
41,/home/projects/bagon/shared/imagenet512/val/n04116512/ILSVRC2012_val_00039841.JPEG,14,27816
42,/home/projects/bagon/shared/imagenet512/val/n03498962/ILSVRC2012_val_00030666.JPEG,21,27899
43,/home/projects/bagon/shared/imagenet512/val/n02797295/ILSVRC2012_val_00048916.JPEG,16,27961
44,/home/projects/bagon/shared/imagenet512/val/n03255030/ILSVRC2012_val_00028417.JPEG,5,28090
45,/home/projects/bagon/shared/imagenet512/val/n02236044/ILSVRC2012_val_00025089.JPEG,37,28153
46,/home/projects/bagon/shared/imagenet512/val/n02097209/ILSVRC2012_val_00000889.JPEG,37,28167
47,/home/projects/bagon/shared/imagenet512/val/n01728572/ILSVRC2012_val_00032556.JPEG,31,28278
48,/home/projects/bagon/shared/imagenet512/val/n07615774/ILSVRC2012_val_00030790.JPEG,11,28368
49,/home/projects/bagon/shared/imagenet512/val/n02786058/ILSVRC2012_val_00038503.JPEG,19,28411
50,/home/projects/bagon/shared/imagenet512/val/n04461696/ILSVRC2012_val_00021814.JPEG,29,28659
51,/home/projects/bagon/shared/imagenet512/val/n03967562/ILSVRC2012_val_00048703.JPEG,23,28667
52,/home/projects/bagon/shared/imagenet512/val/n01774750/ILSVRC2012_val_00007601.JPEG,27,28668
53,/home/projects/bagon/shared/imagenet512/val/n03538406/ILSVRC2012_val_00042767.JPEG,24,28683
54,/home/projects/bagon/shared/imagenet512/val/n03314780/ILSVRC2012_val_00017163.JPEG,18,28704
55,/home/projects/bagon/shared/imagenet512/val/n07836838/ILSVRC2012_val_00008271.JPEG,16,28798
56,/home/projects/bagon/shared/imagenet512/val/n04522168/ILSVRC2012_val_00018977.JPEG,18,28991
57,/home/projects/bagon/shared/imagenet512/val/n03991062/ILSVRC2012_val_00048852.JPEG,24,29070
58,/home/projects/bagon/shared/imagenet512/val/n03786901/ILSVRC2012_val_00040918.JPEG,20,29213
59,/home/projects/bagon/shared/imagenet512/val/n02799071/ILSVRC2012_val_00027308.JPEG,15,29230
60,/home/projects/bagon/shared/imagenet512/val/n03690938/ILSVRC2012_val_00048985.JPEG,18,29292
61,/home/projects/bagon/shared/imagenet512/val/n03141823/ILSVRC2012_val_00046824.JPEG,17,29339
62,/home/projects/bagon/shared/imagenet512/val/n03929660/ILSVRC2012_val_00027002.JPEG,17,29341
63,/home/projects/bagon/shared/imagenet512/val/n03496892/ILSVRC2012_val_00013315.JPEG,32,29361
64,/home/projects/bagon/shared/imagenet512/val/n04347754/ILSVRC2012_val_00033516.JPEG,37,29523
65,/home/projects/bagon/shared/imagenet512/val/n02480495/ILSVRC2012_val_00002911.JPEG,22,29551
66,/home/projects/bagon/shared/imagenet512/val/n01677366/ILSVRC2012_val_00023555.JPEG,22,29599
67,/home/projects/bagon/shared/imagenet512/val/n04447861/ILSVRC2012_val_00037132.JPEG,33,29676
68,/home/projects/bagon/shared/imagenet512/val/n03220513/ILSVRC2012_val_00003102.JPEG,8,29694
69,/home/projects/bagon/shared/imagenet512/val/n02096585/ILSVRC2012_val_00022848.JPEG,10,29702
70,/home/projects/bagon/shared/imagenet512/val/n07753275/ILSVRC2012_val_00045670.JPEG,30,29853
71,/home/projects/bagon/shared/imagenet512/val/n03874293/ILSVRC2012_val_00032653.JPEG,24,29950
72,/home/projects/bagon/shared/imagenet512/val/n02167151/ILSVRC2012_val_00037453.JPEG,33,29967
73,/home/projects/bagon/shared/imagenet512/val/n02607072/ILSVRC2012_val_00040050.JPEG,39,30020
74,/home/projects/bagon/shared/imagenet512/val/n04179913/ILSVRC2012_val_00001715.JPEG,23,30049
75,/home/projects/bagon/shared/imagenet512/val/n02102480/ILSVRC2012_val_00019449.JPEG,23,30061
76,/home/projects/bagon/shared/imagenet512/val/n04487394/ILSVRC2012_val_00000479.JPEG,26,30072
77,/home/projects/bagon/shared/imagenet512/val/n02085936/ILSVRC2012_val_00011805.JPEG,11,30086
78,/home/projects/bagon/shared/imagenet512/val/n09256479/ILSVRC2012_val_00015661.JPEG,42,30103
79,/home/projects/bagon/shared/imagenet512/val/n03935335/ILSVRC2012_val_00022426.JPEG,20,30113
80,/home/projects/bagon/shared/imagenet512/val/n03793489/ILSVRC2012_val_00040868.JPEG,13,30161
81,/home/projects/bagon/shared/imagenet512/val/n02099849/ILSVRC2012_val_00044036.JPEG,12,30258
82,/home/projects/bagon/shared/imagenet512/val/n07584110/ILSVRC2012_val_00033921.JPEG,36,30269
83,/home/projects/bagon/shared/imagenet512/val/n04522168/ILSVRC2012_val_00039729.JPEG,14,30296
84,/home/projects/bagon/shared/imagenet512/val/n04041544/ILSVRC2012_val_00034712.JPEG,34,30347
85,/home/projects/bagon/shared/imagenet512/val/n01784675/ILSVRC2012_val_00039704.JPEG,14,30390
86,/home/projects/bagon/shared/imagenet512/val/n01698640/ILSVRC2012_val_00004106.JPEG,20,30405
87,/home/projects/bagon/shared/imagenet512/val/n01729977/ILSVRC2012_val_00005357.JPEG,48,30530
88,/home/projects/bagon/shared/imagenet512/val/n02100583/ILSVRC2012_val_00026937.JPEG,23,30547
89,/home/projects/bagon/shared/imagenet512/val/n03868242/ILSVRC2012_val_00043902.JPEG,41,30587
90,/home/projects/bagon/shared/imagenet512/val/n01985128/ILSVRC2012_val_00002944.JPEG,24,30671
91,/home/projects/bagon/shared/imagenet512/val/n03598930/ILSVRC2012_val_00009008.JPEG,28,30754
92,/home/projects/bagon/shared/imagenet512/val/n03141823/ILSVRC2012_val_00048778.JPEG,10,30758
93,/home/projects/bagon/shared/imagenet512/val/n03759954/ILSVRC2012_val_00049557.JPEG,12,30843
94,/home/projects/bagon/shared/imagenet512/val/n02777292/ILSVRC2012_val_00023134.JPEG,21,30849
95,/home/projects/bagon/shared/imagenet512/val/n03481172/ILSVRC2012_val_00037956.JPEG,20,30880
96,/home/projects/bagon/shared/imagenet512/val/n03840681/ILSVRC2012_val_00024133.JPEG,13,30957
97,/home/projects/bagon/shared/imagenet512/val/n04591157/ILSVRC2012_val_00018689.JPEG,15,30975
98,/home/projects/bagon/shared/imagenet512/val/n07717410/ILSVRC2012_val_00027302.JPEG,35,31085
99,/home/projects/bagon/shared/imagenet512/val/n12620546/ILSVRC2012_val_00026212.JPEG,15,31135
100,/home/projects/bagon/shared/imagenet512/val/n02791270/ILSVRC2012_val_00014582.JPEG,23,31177
101,/home/projects/bagon/shared/imagenet512/val/n02087394/ILSVRC2012_val_00018629.JPEG,24,31231
102,/home/projects/bagon/shared/imagenet512/val/n01641577/ILSVRC2012_val_00043312.JPEG,53,31461
103,/home/projects/bagon/shared/imagenet512/val/n03929660/ILSVRC2012_val_00001365.JPEG,19,31522
104,/home/projects/bagon/shared/imagenet512/val/n02843684/ILSVRC2012_val_00015956.JPEG,11,31536
105,/home/projects/bagon/shared/imagenet512/val/n01819313/ILSVRC2012_val_00020514.JPEG,15,31577
106,/home/projects/bagon/shared/imagenet512/val/n04435653/ILSVRC2012_val_00020450.JPEG,29,31583
107,/home/projects/bagon/shared/imagenet512/val/n03888605/ILSVRC2012_val_00035987.JPEG,23,31597
108,/home/projects/bagon/shared/imagenet512/val/n04026417/ILSVRC2012_val_00042671.JPEG,25,31621
109,/home/projects/bagon/shared/imagenet512/val/n02279972/ILSVRC2012_val_00023084.JPEG,42,31780
110,/home/projects/bagon/shared/imagenet512/val/n02951585/ILSVRC2012_val_00000223.JPEG,19,31788
111,/home/projects/bagon/shared/imagenet512/val/n03042490/ILSVRC2012_val_00010674.JPEG,28,31832
112,/home/projects/bagon/shared/imagenet512/val/n09472597/ILSVRC2012_val_00016868.JPEG,27,31855
113,/home/projects/bagon/shared/imagenet512/val/n03717622/ILSVRC2012_val_00032460.JPEG,36,31950
114,/home/projects/bagon/shared/imagenet512/val/n03026506/ILSVRC2012_val_00025870.JPEG,13,32006
115,/home/projects/bagon/shared/imagenet512/val/n02096177/ILSVRC2012_val_00016484.JPEG,21,32053
116,/home/projects/bagon/shared/imagenet512/val/n02086646/ILSVRC2012_val_00002150.JPEG,23,32063
117,/home/projects/bagon/shared/imagenet512/val/n04482393/ILSVRC2012_val_00030879.JPEG,16,32081
118,/home/projects/bagon/shared/imagenet512/val/n01833805/ILSVRC2012_val_00037397.JPEG,30,32093
119,/home/projects/bagon/shared/imagenet512/val/n03530642/ILSVRC2012_val_00038525.JPEG,23,32123
120,/home/projects/bagon/shared/imagenet512/val/n04149813/ILSVRC2012_val_00030627.JPEG,18,32220
121,/home/projects/bagon/shared/imagenet512/val/n02397096/ILSVRC2012_val_00004394.JPEG,41,32253
122,/home/projects/bagon/shared/imagenet512/val/n02088094/ILSVRC2012_val_00009294.JPEG,25,32264
123,/home/projects/bagon/shared/imagenet512/val/n01871265/ILSVRC2012_val_00015958.JPEG,19,32277
124,/home/projects/bagon/shared/imagenet512/val/n02113186/ILSVRC2012_val_00001494.JPEG,33,32330
125,/home/projects/bagon/shared/imagenet512/val/n04118776/ILSVRC2012_val_00046198.JPEG,24,32354
126,/home/projects/bagon/shared/imagenet512/val/n03899768/ILSVRC2012_val_00017304.JPEG,24,32385
127,/home/projects/bagon/shared/imagenet512/val/n04265275/ILSVRC2012_val_00008244.JPEG,5,32418
128,/home/projects/bagon/shared/imagenet512/val/n02037110/ILSVRC2012_val_00045300.JPEG,19,32484
129,/home/projects/bagon/shared/imagenet512/val/n02077923/ILSVRC2012_val_00027457.JPEG,12,32492
130,/home/projects/bagon/shared/imagenet512/val/n02708093/ILSVRC2012_val_00002178.JPEG,19,32499
131,/home/projects/bagon/shared/imagenet512/val/n02356798/ILSVRC2012_val_00016497.JPEG,25,32602
132,/home/projects/bagon/shared/imagenet512/val/n04277352/ILSVRC2012_val_00021261.JPEG,12,32605
133,/home/projects/bagon/shared/imagenet512/val/n02672831/ILSVRC2012_val_00044448.JPEG,11,32638
134,/home/projects/bagon/shared/imagenet512/val/n04328186/ILSVRC2012_val_00048093.JPEG,34,32644
135,/home/projects/bagon/shared/imagenet512/val/n03724870/ILSVRC2012_val_00038076.JPEG,24,32649
136,/home/projects/bagon/shared/imagenet512/val/n03388043/ILSVRC2012_val_00002019.JPEG,7,32844
137,/home/projects/bagon/shared/imagenet512/val/n04442312/ILSVRC2012_val_00046863.JPEG,17,32877
138,/home/projects/bagon/shared/imagenet512/val/n07836838/ILSVRC2012_val_00038072.JPEG,21,32881
139,/home/projects/bagon/shared/imagenet512/val/n03017168/ILSVRC2012_val_00026289.JPEG,16,32892
140,/home/projects/bagon/shared/imagenet512/val/n04409515/ILSVRC2012_val_00018697.JPEG,30,33014
141,/home/projects/bagon/shared/imagenet512/val/n02093754/ILSVRC2012_val_00044070.JPEG,26,33018
142,/home/projects/bagon/shared/imagenet512/val/n02115913/ILSVRC2012_val_00036414.JPEG,33,33066
143,/home/projects/bagon/shared/imagenet512/val/n03492542/ILSVRC2012_val_00047339.JPEG,26,33087
144,/home/projects/bagon/shared/imagenet512/val/n03110669/ILSVRC2012_val_00024650.JPEG,29,33119
145,/home/projects/bagon/shared/imagenet512/val/n04192698/ILSVRC2012_val_00024342.JPEG,26,33124
146,/home/projects/bagon/shared/imagenet512/val/n03498962/ILSVRC2012_val_00017263.JPEG,20,33143
147,/home/projects/bagon/shared/imagenet512/val/n07749582/ILSVRC2012_val_00018825.JPEG,33,33165
148,/home/projects/bagon/shared/imagenet512/val/n02033041/ILSVRC2012_val_00047765.JPEG,43,33261
149,/home/projects/bagon/shared/imagenet512/val/n02483708/ILSVRC2012_val_00015529.JPEG,30,33262
150,/home/projects/bagon/shared/imagenet512/val/n03538406/ILSVRC2012_val_00010304.JPEG,37,33312
151,/home/projects/bagon/shared/imagenet512/val/n02094114/ILSVRC2012_val_00008085.JPEG,17,33315
152,/home/projects/bagon/shared/imagenet512/val/n03109150/ILSVRC2012_val_00049620.JPEG,18,33358
153,/home/projects/bagon/shared/imagenet512/val/n03109150/ILSVRC2012_val_00018467.JPEG,10,33408
154,/home/projects/bagon/shared/imagenet512/val/n07248320/ILSVRC2012_val_00021114.JPEG,19,33460
155,/home/projects/bagon/shared/imagenet512/val/n02776631/ILSVRC2012_val_00031045.JPEG,18,33573
156,/home/projects/bagon/shared/imagenet512/val/n07714571/ILSVRC2012_val_00015437.JPEG,39,33574
157,/home/projects/bagon/shared/imagenet512/val/n02859443/ILSVRC2012_val_00024036.JPEG,37,33614
158,/home/projects/bagon/shared/imagenet512/val/n04208210/ILSVRC2012_val_00010415.JPEG,12,33615
159,/home/projects/bagon/shared/imagenet512/val/n02099267/ILSVRC2012_val_00002764.JPEG,31,33636
160,/home/projects/bagon/shared/imagenet512/val/n09229709/ILSVRC2012_val_00023304.JPEG,17,33742
161,/home/projects/bagon/shared/imagenet512/val/n03785016/ILSVRC2012_val_00048569.JPEG,34,33914
162,/home/projects/bagon/shared/imagenet512/val/n03047690/ILSVRC2012_val_00042925.JPEG,16,33923
163,/home/projects/bagon/shared/imagenet512/val/n03775546/ILSVRC2012_val_00030172.JPEG,21,33939
164,/home/projects/bagon/shared/imagenet512/val/n03372029/ILSVRC2012_val_00007291.JPEG,27,33989
165,/home/projects/bagon/shared/imagenet512/val/n04254680/ILSVRC2012_val_00014872.JPEG,14,34043
166,/home/projects/bagon/shared/imagenet512/val/n03110669/ILSVRC2012_val_00013587.JPEG,22,34102
167,/home/projects/bagon/shared/imagenet512/val/n02346627/ILSVRC2012_val_00047422.JPEG,23,34125
168,/home/projects/bagon/shared/imagenet512/val/n03887697/ILSVRC2012_val_00011365.JPEG,1,34126
169,/home/projects/bagon/shared/imagenet512/val/n03825788/ILSVRC2012_val_00001209.JPEG,19,34129
170,/home/projects/bagon/shared/imagenet512/val/n01685808/ILSVRC2012_val_00021605.JPEG,46,34174
171,/home/projects/bagon/shared/imagenet512/val/n04147183/ILSVRC2012_val_00023233.JPEG,28,34191
172,/home/projects/bagon/shared/imagenet512/val/n02190166/ILSVRC2012_val_00011393.JPEG,36,34202
173,/home/projects/bagon/shared/imagenet512/val/n02090721/ILSVRC2012_val_00009772.JPEG,18,34204
174,/home/projects/bagon/shared/imagenet512/val/n02948072/ILSVRC2012_val_00014435.JPEG,13,34271
175,/home/projects/bagon/shared/imagenet512/val/n03598930/ILSVRC2012_val_00030243.JPEG,32,34278
176,/home/projects/bagon/shared/imagenet512/val/n03535780/ILSVRC2012_val_00025020.JPEG,16,34292
177,/home/projects/bagon/shared/imagenet512/val/n02951585/ILSVRC2012_val_00033696.JPEG,18,34319
178,/home/projects/bagon/shared/imagenet512/val/n02422699/ILSVRC2012_val_00035239.JPEG,27,34321
179,/home/projects/bagon/shared/imagenet512/val/n03126707/ILSVRC2012_val_00044019.JPEG,41,34338
180,/home/projects/bagon/shared/imagenet512/val/n04131690/ILSVRC2012_val_00032630.JPEG,20,34345
181,/home/projects/bagon/shared/imagenet512/val/n03445777/ILSVRC2012_val_00020502.JPEG,21,34403
182,/home/projects/bagon/shared/imagenet512/val/n02174001/ILSVRC2012_val_00014365.JPEG,13,34405
183,/home/projects/bagon/shared/imagenet512/val/n03742115/ILSVRC2012_val_00040111.JPEG,37,34441
184,/home/projects/bagon/shared/imagenet512/val/n03041632/ILSVRC2012_val_00009369.JPEG,22,34443
185,/home/projects/bagon/shared/imagenet512/val/n04131690/ILSVRC2012_val_00032187.JPEG,27,34484
186,/home/projects/bagon/shared/imagenet512/val/n02091032/ILSVRC2012_val_00035423.JPEG,13,34493
187,/home/projects/bagon/shared/imagenet512/val/n02777292/ILSVRC2012_val_00014709.JPEG,28,34527
188,/home/projects/bagon/shared/imagenet512/val/n02137549/ILSVRC2012_val_00047555.JPEG,25,34536
189,/home/projects/bagon/shared/imagenet512/val/n02102318/ILSVRC2012_val_00027963.JPEG,22,34541
190,/home/projects/bagon/shared/imagenet512/val/n03916031/ILSVRC2012_val_00032845.JPEG,22,34583
191,/home/projects/bagon/shared/imagenet512/val/n03970156/ILSVRC2012_val_00047475.JPEG,5,34633
192,/home/projects/bagon/shared/imagenet512/val/n02096177/ILSVRC2012_val_00009789.JPEG,25,34701
193,/home/projects/bagon/shared/imagenet512/val/n03933933/ILSVRC2012_val_00043832.JPEG,35,34748
194,/home/projects/bagon/shared/imagenet512/val/n02095570/ILSVRC2012_val_00005564.JPEG,21,34851
195,/home/projects/bagon/shared/imagenet512/val/n01498041/ILSVRC2012_val_00039525.JPEG,39,34918
196,/home/projects/bagon/shared/imagenet512/val/n07768694/ILSVRC2012_val_00011558.JPEG,37,34927
197,/home/projects/bagon/shared/imagenet512/val/n03494278/ILSVRC2012_val_00019269.JPEG,12,34958
198,/home/projects/bagon/shared/imagenet512/val/n04596742/ILSVRC2012_val_00007324.JPEG,11,35013
199,/home/projects/bagon/shared/imagenet512/val/n07873807/ILSVRC2012_val_00028297.JPEG,45,35018
200,/home/projects/bagon/shared/imagenet512/val/n04125021/ILSVRC2012_val_00019656.JPEG,30,35043
201,/home/projects/bagon/shared/imagenet512/val/n01496331/ILSVRC2012_val_00009420.JPEG,21,35125
202,/home/projects/bagon/shared/imagenet512/val/n04254120/ILSVRC2012_val_00008831.JPEG,32,35193
203,/home/projects/bagon/shared/imagenet512/val/n02892767/ILSVRC2012_val_00037058.JPEG,13,35270
204,/home/projects/bagon/shared/imagenet512/val/n04209239/ILSVRC2012_val_00032213.JPEG,19,35406
205,/home/projects/bagon/shared/imagenet512/val/n02100735/ILSVRC2012_val_00030271.JPEG,31,35413
206,/home/projects/bagon/shared/imagenet512/val/n04476259/ILSVRC2012_val_00049269.JPEG,14,35417
207,/home/projects/bagon/shared/imagenet512/val/n03529860/ILSVRC2012_val_00044725.JPEG,17,35420
208,/home/projects/bagon/shared/imagenet512/val/n07590611/ILSVRC2012_val_00049154.JPEG,24,35468
209,/home/projects/bagon/shared/imagenet512/val/n04270147/ILSVRC2012_val_00018321.JPEG,4,35479
210,/home/projects/bagon/shared/imagenet512/val/n03483316/ILSVRC2012_val_00027635.JPEG,12,35493
211,/home/projects/bagon/shared/imagenet512/val/n02782093/ILSVRC2012_val_00047490.JPEG,8,35523
212,/home/projects/bagon/shared/imagenet512/val/n03690938/ILSVRC2012_val_00003829.JPEG,14,35565
213,/home/projects/bagon/shared/imagenet512/val/n04235860/ILSVRC2012_val_00021495.JPEG,14,35672
214,/home/projects/bagon/shared/imagenet512/val/n03891332/ILSVRC2012_val_00015461.JPEG,13,35713
215,/home/projects/bagon/shared/imagenet512/val/n03485407/ILSVRC2012_val_00009246.JPEG,37,35723
216,/home/projects/bagon/shared/imagenet512/val/n02099601/ILSVRC2012_val_00049855.JPEG,12,35724
217,/home/projects/bagon/shared/imagenet512/val/n07613480/ILSVRC2012_val_00044255.JPEG,33,35731
218,/home/projects/bagon/shared/imagenet512/val/n04152593/ILSVRC2012_val_00042871.JPEG,22,35736
219,/home/projects/bagon/shared/imagenet512/val/n01675722/ILSVRC2012_val_00044862.JPEG,35,35751
220,/home/projects/bagon/shared/imagenet512/val/n03706229/ILSVRC2012_val_00032353.JPEG,30,35808
221,/home/projects/bagon/shared/imagenet512/val/n02640242/ILSVRC2012_val_00035871.JPEG,19,35885
222,/home/projects/bagon/shared/imagenet512/val/n02120079/ILSVRC2012_val_00019222.JPEG,20,35905
223,/home/projects/bagon/shared/imagenet512/val/n02124075/ILSVRC2012_val_00016918.JPEG,12,35982
224,/home/projects/bagon/shared/imagenet512/val/n03063599/ILSVRC2012_val_00028344.JPEG,28,36058
225,/home/projects/bagon/shared/imagenet512/val/n04532106/ILSVRC2012_val_00008470.JPEG,22,36086
226,/home/projects/bagon/shared/imagenet512/val/n01689811/ILSVRC2012_val_00022175.JPEG,42,36088
227,/home/projects/bagon/shared/imagenet512/val/n03530642/ILSVRC2012_val_00035007.JPEG,28,36095
228,/home/projects/bagon/shared/imagenet512/val/n04141327/ILSVRC2012_val_00049068.JPEG,22,36102
229,/home/projects/bagon/shared/imagenet512/val/n03196217/ILSVRC2012_val_00013897.JPEG,32,36122
230,/home/projects/bagon/shared/imagenet512/val/n03534580/ILSVRC2012_val_00021106.JPEG,31,36131
231,/home/projects/bagon/shared/imagenet512/val/n04507155/ILSVRC2012_val_00046429.JPEG,18,36152
232,/home/projects/bagon/shared/imagenet512/val/n02099601/ILSVRC2012_val_00027830.JPEG,23,36166
233,/home/projects/bagon/shared/imagenet512/val/n02093859/ILSVRC2012_val_00020043.JPEG,22,36189
234,/home/projects/bagon/shared/imagenet512/val/n03791053/ILSVRC2012_val_00045182.JPEG,37,36190
235,/home/projects/bagon/shared/imagenet512/val/n04507155/ILSVRC2012_val_00026690.JPEG,13,36193
236,/home/projects/bagon/shared/imagenet512/val/n03773504/ILSVRC2012_val_00037919.JPEG,16,36204
237,/home/projects/bagon/shared/imagenet512/val/n03207941/ILSVRC2012_val_00026570.JPEG,16,36236
238,/home/projects/bagon/shared/imagenet512/val/n03666591/ILSVRC2012_val_00021153.JPEG,18,36301
239,/home/projects/bagon/shared/imagenet512/val/n02105505/ILSVRC2012_val_00029354.JPEG,16,36307
240,/home/projects/bagon/shared/imagenet512/val/n01807496/ILSVRC2012_val_00048846.JPEG,40,36326
241,/home/projects/bagon/shared/imagenet512/val/n03498962/ILSVRC2012_val_00040211.JPEG,18,36331
242,/home/projects/bagon/shared/imagenet512/val/n01985128/ILSVRC2012_val_00003119.JPEG,29,36350
243,/home/projects/bagon/shared/imagenet512/val/n03676483/ILSVRC2012_val_00037921.JPEG,12,36353
244,/home/projects/bagon/shared/imagenet512/val/n03617480/ILSVRC2012_val_00010400.JPEG,26,36357
245,/home/projects/bagon/shared/imagenet512/val/n02172182/ILSVRC2012_val_00020308.JPEG,44,36381
246,/home/projects/bagon/shared/imagenet512/val/n03535780/ILSVRC2012_val_00031836.JPEG,25,36385
247,/home/projects/bagon/shared/imagenet512/val/n03496892/ILSVRC2012_val_00036671.JPEG,33,36387
248,/home/projects/bagon/shared/imagenet512/val/n04081281/ILSVRC2012_val_00024449.JPEG,22,36445
249,/home/projects/bagon/shared/imagenet512/val/n07579787/ILSVRC2012_val_00045027.JPEG,32,36456
250,/home/projects/bagon/shared/imagenet512/val/n03697007/ILSVRC2012_val_00005462.JPEG,11,36466
251,/home/projects/bagon/shared/imagenet512/val/n02105412/ILSVRC2012_val_00017234.JPEG,26,36492
252,/home/projects/bagon/shared/imagenet512/val/n04532106/ILSVRC2012_val_00009759.JPEG,18,36509
253,/home/projects/bagon/shared/imagenet512/val/n01443537/ILSVRC2012_val_00006007.JPEG,32,36510
254,/home/projects/bagon/shared/imagenet512/val/n04259630/ILSVRC2012_val_00002642.JPEG,17,36579
255,/home/projects/bagon/shared/imagenet512/val/n07753275/ILSVRC2012_val_00025281.JPEG,33,36590
256,/home/projects/bagon/shared/imagenet512/val/n02097130/ILSVRC2012_val_00034166.JPEG,21,36615
257,/home/projects/bagon/shared/imagenet512/val/n04037443/ILSVRC2012_val_00019802.JPEG,33,36617
258,/home/projects/bagon/shared/imagenet512/val/n02231487/ILSVRC2012_val_00047704.JPEG,23,36650
259,/home/projects/bagon/shared/imagenet512/val/n03710193/ILSVRC2012_val_00018245.JPEG,19,36679
260,/home/projects/bagon/shared/imagenet512/val/n04540053/ILSVRC2012_val_00014565.JPEG,32,36719
261,/home/projects/bagon/shared/imagenet512/val/n03393912/ILSVRC2012_val_00002595.JPEG,22,36722
262,/home/projects/bagon/shared/imagenet512/val/n06874185/ILSVRC2012_val_00038513.JPEG,23,36764
